eta,endpoint_via_logit,endpoint_via_probability,endpoint_gap,gap_over_eta_squared
1.0,0.9331612093213913,1.0,0.06683879067860865,0.06683879067860865
0.5,0.8819778226778467,0.9,0.018022177322153277,0.0720887092886131
0.25,0.8453772059440265,0.8500000000000001,0.004622794055973545,0.07396470489557672
0.1,0.8192529518825834,0.8200000000000001,0.0007470481174166599,0.07470481174166597
0.05,0.80981281563879,0.81,0.00018718436121001325,0.07487374448400529
0.01,0.8019925021728807,0.802,7.49782711939595e-06,0.0749782711939595
0.001,0.8001999250020924,0.8002,7.499790766196668e-08,0.07499790766196668
