step_after_switch,recursive_v,analytic_v,absolute_error,remaining_fraction
1,1.7999999999999998,1.7999999999999998,0.0,0.9
2,2.5199999999999996,2.5199999999999996,0.0,0.81
3,3.1679999999999997,3.1679999999999993,4.440892098500626e-16,0.7290000000000001
4,3.7512,3.7512,0.0,0.6561
5,4.276079999999999,4.276079999999999,0.0,0.5904900000000001
6,4.748472,4.748472,0.0,0.531441
7,5.173624799999999,5.173624799999999,0.0,0.47829690000000014
8,5.556262319999998,5.556262319999999,8.881784197001252e-16,0.4304672100000002
9,5.900636087999998,5.900636087999999,8.881784197001252e-16,0.38742048900000026
10,6.210572479199998,6.2105724792,1.7763568394002505e-15,0.34867844010000026
11,6.489515231279998,6.4895152312799995,1.7763568394002505e-15,0.3138105960900003
12,6.740563708151997,6.740563708151999,1.7763568394002505e-15,0.28242953648100033
13,6.966507337336798,6.966507337336799,1.7763568394002505e-15,0.2541865828329003
14,7.169856603603117,7.169856603603119,1.7763568394002505e-15,0.22876792454961037
15,7.352870943242805,7.352870943242808,2.6645352591003757e-15,0.20589113209464938
16,7.517583848918524,7.517583848918527,2.6645352591003757e-15,0.1853020188851845
17,7.665825464026671,7.665825464026674,2.6645352591003757e-15,0.1667718169966661
18,7.799242917624004,7.799242917624007,2.6645352591003757e-15,0.1500946352969995
19,7.919318625861603,7.919318625861606,2.6645352591003757e-15,0.13508517176729962
20,8.027386763275443,8.027386763275445,1.7763568394002505e-15,0.12157665459056965
21,8.124648086947898,8.1246480869479,1.7763568394002505e-15,0.10941898913151271
22,8.212183278253109,8.21218327825311,1.7763568394002505e-15,0.09847709021836137
23,8.290964950427798,8.2909649504278,1.7763568394002505e-15,0.0886293811965253
24,8.361868455385018,8.36186845538502,1.7763568394002505e-15,0.07976644307687275
25,8.425681609846515,8.425681609846517,1.7763568394002505e-15,0.07178979876918556
26,8.483113448861864,8.483113448861866,1.7763568394002505e-15,0.06461081889226694
27,8.534802103975679,8.534802103975679,0.0,0.05814973700304016
28,8.58132189357811,8.581321893578112,1.7763568394002505e-15,0.05233476330273623
29,8.6231897042203,8.6231897042203,0.0,0.04710128697246252
30,8.66087073379827,8.66087073379827,0.0,0.042391158275216334
31,8.694783660418443,8.694783660418443,0.0,0.038152042447694656
32,8.725305294376598,8.725305294376598,0.0,0.03433683820292521
33,8.75277476493894,8.75277476493894,0.0,0.03090315438263258
34,8.777497288445046,8.777497288445044,1.7763568394002505e-15,0.027812838944369256
35,8.799747559600542,8.79974755960054,1.7763568394002505e-15,0.025031555049932264
36,8.819772803640488,8.819772803640486,1.7763568394002505e-15,0.022528399544939015
37,8.837795523276439,8.837795523276437,1.7763568394002505e-15,0.020275559590445136
38,8.854015970948796,8.854015970948794,1.7763568394002505e-15,0.018248003631400556
39,8.868614373853916,8.868614373853914,1.7763568394002505e-15,0.016423203268260522
40,8.881752936468525,8.881752936468523,1.7763568394002505e-15,0.014780882941434426
41,8.893577642821672,8.89357764282167,1.7763568394002505e-15,0.013302794647291005
42,8.904219878539505,8.904219878539504,1.7763568394002505e-15,0.011972515182561816
43,8.913797890685556,8.913797890685553,3.552713678800501e-15,0.010775263664305479
44,8.922418101617001,8.922418101616998,3.552713678800501e-15,0.00969773729787482
45,8.930176291455302,8.930176291455298,3.552713678800501e-15,0.00872796356808725
46,8.937158662309772,8.937158662309768,3.552713678800501e-15,0.007855167211278546
47,8.943442796078795,8.943442796078791,3.552713678800501e-15,0.007069650490150625
48,8.949098516470917,8.949098516470912,5.329070518200751e-15,0.006362685441135385
49,8.954188664823826,8.954188664823821,5.329070518200751e-15,0.005726416897021691
50,8.958769798341445,8.95876979834144,5.329070518200751e-15,0.005153775207319411
51,8.962892818507301,8.962892818507296,5.329070518200751e-15,0.004638397686587359
52,8.96660353665657,8.966603536656566,5.329070518200751e-15,0.004174557917928645
53,8.969943182990914,8.969943182990908,5.329070518200751e-15,0.0037571021261357807
54,8.972948864691823,8.972948864691817,5.329070518200751e-15,0.003381391913522158
55,8.975653978222642,8.975653978222637,5.329070518200751e-15,0.0030432527221697647
56,8.978088580400378,8.978088580400373,5.329070518200751e-15,0.002738927449952744
57,8.980279722360342,8.980279722360335,7.105427357601002e-15,0.002465034704957292
58,8.982251750124307,8.982251750124302,5.329070518200751e-15,0.002218531234461585
59,8.984026575111876,8.984026575111871,5.329070518200751e-15,0.0019966781110154486
60,8.98562391760069,8.985623917600684,5.329070518200751e-15,0.0017970102999138593
