step,adam_x,amsgrad_x,adam_v,amsgrad_max_v,adam_regret,amsgrad_regret
1,-0.5153882032022076,-0.5153882032022076,15.058823529411764,15.058823529411764,4.0,4.0
2,-0.3304306937492786,-0.4509646778019316,1.8269896193771626,15.058823529411764,3.5153882032022077,3.5153882032022077
3,-0.16767574430694082,-0.40801566086841434,1.0486464481986566,15.058823529411764,2.845818896951486,2.966352881004139
4,-0.2962597066056893,-0.5365996231671628,15.12050861459992,15.12050861459992,6.175115919723723,5.334290237530482
5,-0.22235006138742155,-0.5108828307074131,1.8306181537999953,15.12050861459992,5.471375626329412,4.870889860697645
6,-0.14098086725388248,-0.4894521703242884,1.0488598913999998,15.12050861459992,4.693725687716833,4.381772691405057
7,-0.21445738663286557,-0.5629286897032715,15.120521170082352,15.120521170082352,8.129802218701304,6.423964010107904
8,-0.1682638676897705,-0.546855701089119,1.8306188923577853,15.120521170082352,7.3442596053341695,5.986892699811175
9,-0.1140177393908691,-0.5325686000987612,1.0488599348445755,15.120521170082352,6.51252347302394,5.533748400900294
10,-0.1654513029518108,-0.5840021636597028,15.120521172637917,15.120521172637917,10.056452515460464,7.40347400050525
11,-0.13185601644912104,-0.5723127173958524,1.8306188925081126,15.120521172637917,9.221903818412274,6.987476164164953
12,-0.09117142022511648,-0.5615973916539896,1.0488599348534184,15.120521172637917,8.353759834861396,6.559788881560805
13,-0.13073569988737865,-0.6011616713162518,15.120521172638437,15.120521172638437,11.98907415396093,8.313399314944846
14,-0.10433940334955122,-0.5919771063946552,1.8306188925081432,15.120521172638437,11.119809853848308,7.914560986261098
15,-0.07179172637034761,-0.583404845801165,1.0488599348534202,15.120521172638437,10.22414925719786,7.506538092655754
16,-0.10393770359593561,-0.615550823026753,15.120521172638437,15.120521172638437,13.936982351716468,9.172918709451093
17,-0.08219957703537184,-0.6079870636795558,1.8306188925081432,15.120521172638437,13.040920055312405,8.788469532477848
18,-0.055076512886035496,-0.6008435131849806,1.0488599348534202,15.120521172638437,12.123119632347777,8.396456596157403
19,-0.08214680949705697,-0.6279138097960021,15.120521172638437,15.120521172638437,15.902813580803635,9.99308254341748
20,-0.06366940192057777,-0.6214846143508845,1.8306188925081432,15.120521172638437,14.98496039030069,9.620996353213481
21,-0.040421061221146616,-0.6153615710698201,1.0488599348534202,15.120521172638437,14.048629792221268,9.242480967564367
22,-0.06379995374884698,-0.6387404635975205,15.120521172638437,15.120521172638437,17.886945547336683,10.781034683285085
23,-0.04773264281277811,-0.6331498588626356,1.8306188925081432,15.120521172638437,16.950745501085528,10.419775146882607
24,-0.02739034470077585,-0.6277921959917043,1.0488599348534202,15.120521172638437,15.998478143898307,10.052925005745243
25,-0.04796377012515217,-0.6483656214160807,15.120521172638437,15.120521172638437,19.888916765095203,11.541756221778424
26,-0.03375037968170663,-0.643420086458298,1.8306188925081432,15.120521172638437,18.936880535220357,11.190121843194504
27,-0.015668336915482403,-0.6386577194619145,1.0488599348534202,15.120521172638437,17.970630914902063,10.833541929652803
28,-0.03403746675867554,-0.6570268493051077,15.120521172638437,15.120521172638437,21.907957567240132,12.278911051805146
29,-0.021294427050758853,-0.6525929214119232,1.8306188925081432,15.120521172638437,20.941995033998808,11.935937901110254
30,-0.005020588561157047,-0.6483067911151781,1.0488599348534202,15.120521172638437,19.963289461049566,11.588530822522177
60,0.06791915227141189,-0.7105267921753261,1.0488599348534202,15.120521172638437,40.751154541856536,18.19990106196423
120,0.14403427657237483,-0.7713602067269277,1.0488599348534202,15.120521172638437,85.23512777210996,28.6903196117757
180,0.18936818756695326,-0.8065914598997582,1.0488599348534202,15.120521172638437,132.00708079746374,37.24070546669482
240,0.2217590285544325,-0.8314895600066031,1.0488599348534202,15.120521172638437,180.29118870540526,44.566555052492006
300,0.24697824230652676,-0.8507604733990269,1.0488599348534202,15.120521172638437,229.7083906670103,50.99354391126582
360,0.2676326652795195,-0.8664845803202107,1.0488599348534202,15.120521172638437,280.0325241429496,56.709591339926305
420,0.2851241509032297,-0.8797666799378843,1.0488599348534202,15.120521172638437,331.11301187647086,61.83733459891482
480,0.3002939600719133,-0.8912642785092172,1.0488599348534202,15.120521172638437,382.84229316926854,66.46320777867697
540,0.3136867935268995,-0.901400574895484,1.0488599348534202,15.120521172638437,435.13965556422175,70.65144570856364
600,0.32567563443603537,-0.9104640599597813,1.0488599348534202,15.120521172638437,487.942280787712,74.45167774364717
660,0.33652711059117757,-0.9186602424151702,1.0488599348534202,15.120521172638437,541.1998795035222,77.90340766353864
720,0.34643844277406843,-0.9261407078883955,1.0488599348534202,15.120521172638437,594.871278556228,81.03882923108432
780,0.35555962277637104,-0.9330204757854618,1.0488599348534202,15.120521172638437,648.9221457286734,83.88468539334605
840,0.364007384804991,-0.9393888898029402,1.0488599348534202,15.120521172638437,703.3234141350513,86.46354574172767
