schedule,step,normalized_time,learning_rate,sum_learning_rate,sum_squared_learning_rate,adamw_decay_product_lambda_0_01
constant,91,0.91,1.0,101.0,101.0,0.36237201786049694
constant,92,0.92,1.0,101.0,101.0,0.36237201786049694
constant,93,0.93,1.0,101.0,101.0,0.36237201786049694
constant,94,0.94,1.0,101.0,101.0,0.36237201786049694
constant,95,0.95,1.0,101.0,101.0,0.36237201786049694
constant,96,0.96,1.0,101.0,101.0,0.36237201786049694
constant,97,0.97,1.0,101.0,101.0,0.36237201786049694
constant,98,0.98,1.0,101.0,101.0,0.36237201786049694
constant,99,0.99,1.0,101.0,101.0,0.36237201786049694
constant,100,1.0,1.0,101.0,101.0,0.36237201786049694
linear,0,0.0,1.0,50.50000000000001,33.83499999999999,0.602480305307705
linear,1,0.01,0.99,50.50000000000001,33.83499999999999,0.602480305307705
linear,2,0.02,0.98,50.50000000000001,33.83499999999999,0.602480305307705
linear,3,0.03,0.97,50.50000000000001,33.83499999999999,0.602480305307705
linear,4,0.04,0.96,50.50000000000001,33.83499999999999,0.602480305307705
linear,5,0.05,0.95,50.50000000000001,33.83499999999999,0.602480305307705
linear,6,0.06,0.94,50.50000000000001,33.83499999999999,0.602480305307705
linear,7,0.07,0.9299999999999999,50.50000000000001,33.83499999999999,0.602480305307705
linear,8,0.08,0.92,50.50000000000001,33.83499999999999,0.602480305307705
linear,9,0.09,0.91,50.50000000000001,33.83499999999999,0.602480305307705
linear,10,0.1,0.9,50.50000000000001,33.83499999999999,0.602480305307705
linear,11,0.11,0.89,50.50000000000001,33.83499999999999,0.602480305307705
linear,12,0.12,0.88,50.50000000000001,33.83499999999999,0.602480305307705
linear,13,0.13,0.87,50.50000000000001,33.83499999999999,0.602480305307705
linear,14,0.14,0.86,50.50000000000001,33.83499999999999,0.602480305307705
linear,15,0.15,0.85,50.50000000000001,33.83499999999999,0.602480305307705
linear,16,0.16,0.84,50.50000000000001,33.83499999999999,0.602480305307705
linear,17,0.17,0.83,50.50000000000001,33.83499999999999,0.602480305307705
linear,18,0.18,0.8200000000000001,50.50000000000001,33.83499999999999,0.602480305307705
linear,19,0.19,0.81,50.50000000000001,33.83499999999999,0.602480305307705
linear,20,0.2,0.8,50.50000000000001,33.83499999999999,0.602480305307705
linear,21,0.21,0.79,50.50000000000001,33.83499999999999,0.602480305307705
linear,22,0.22,0.78,50.50000000000001,33.83499999999999,0.602480305307705
linear,23,0.23,0.77,50.50000000000001,33.83499999999999,0.602480305307705
linear,24,0.24,0.76,50.50000000000001,33.83499999999999,0.602480305307705
linear,25,0.25,0.75,50.50000000000001,33.83499999999999,0.602480305307705
linear,26,0.26,0.74,50.50000000000001,33.83499999999999,0.602480305307705
linear,27,0.27,0.73,50.50000000000001,33.83499999999999,0.602480305307705
linear,28,0.28,0.72,50.50000000000001,33.83499999999999,0.602480305307705
linear,29,0.29,0.71,50.50000000000001,33.83499999999999,0.602480305307705
linear,30,0.3,0.7,50.50000000000001,33.83499999999999,0.602480305307705
linear,31,0.31,0.69,50.50000000000001,33.83499999999999,0.602480305307705
linear,32,0.32,0.6799999999999999,50.50000000000001,33.83499999999999,0.602480305307705
linear,33,0.33,0.6699999999999999,50.50000000000001,33.83499999999999,0.602480305307705
linear,34,0.34,0.6599999999999999,50.50000000000001,33.83499999999999,0.602480305307705
linear,35,0.35,0.65,50.50000000000001,33.83499999999999,0.602480305307705
linear,36,0.36,0.64,50.50000000000001,33.83499999999999,0.602480305307705
linear,37,0.37,0.63,50.50000000000001,33.83499999999999,0.602480305307705
linear,38,0.38,0.62,50.50000000000001,33.83499999999999,0.602480305307705
linear,39,0.39,0.61,50.50000000000001,33.83499999999999,0.602480305307705
linear,40,0.4,0.6,50.50000000000001,33.83499999999999,0.602480305307705
linear,41,0.41,0.5900000000000001,50.50000000000001,33.83499999999999,0.602480305307705
linear,42,0.42,0.5800000000000001,50.50000000000001,33.83499999999999,0.602480305307705
linear,43,0.43,0.5700000000000001,50.50000000000001,33.83499999999999,0.602480305307705
linear,44,0.44,0.56,50.50000000000001,33.83499999999999,0.602480305307705
linear,45,0.45,0.55,50.50000000000001,33.83499999999999,0.602480305307705
linear,46,0.46,0.54,50.50000000000001,33.83499999999999,0.602480305307705
linear,47,0.47,0.53,50.50000000000001,33.83499999999999,0.602480305307705
linear,48,0.48,0.52,50.50000000000001,33.83499999999999,0.602480305307705
linear,49,0.49,0.51,50.50000000000001,33.83499999999999,0.602480305307705
linear,50,0.5,0.5,50.50000000000001,33.83499999999999,0.602480305307705
linear,51,0.51,0.49,50.50000000000001,33.83499999999999,0.602480305307705
linear,52,0.52,0.48,50.50000000000001,33.83499999999999,0.602480305307705
linear,53,0.53,0.47,50.50000000000001,33.83499999999999,0.602480305307705
linear,54,0.54,0.45999999999999996,50.50000000000001,33.83499999999999,0.602480305307705
linear,55,0.55,0.44999999999999996,50.50000000000001,33.83499999999999,0.602480305307705
linear,56,0.56,0.43999999999999995,50.50000000000001,33.83499999999999,0.602480305307705
linear,57,0.57,0.43000000000000005,50.50000000000001,33.83499999999999,0.602480305307705
linear,58,0.58,0.42000000000000004,50.50000000000001,33.83499999999999,0.602480305307705
linear,59,0.59,0.41000000000000003,50.50000000000001,33.83499999999999,0.602480305307705
linear,60,0.6,0.4,50.50000000000001,33.83499999999999,0.602480305307705
linear,61,0.61,0.39,50.50000000000001,33.83499999999999,0.602480305307705
linear,62,0.62,0.38,50.50000000000001,33.83499999999999,0.602480305307705
linear,63,0.63,0.37,50.50000000000001,33.83499999999999,0.602480305307705
linear,64,0.64,0.36,50.50000000000001,33.83499999999999,0.602480305307705
linear,65,0.65,0.35,50.50000000000001,33.83499999999999,0.602480305307705
linear,66,0.66,0.33999999999999997,50.50000000000001,33.83499999999999,0.602480305307705
linear,67,0.67,0.32999999999999996,50.50000000000001,33.83499999999999,0.602480305307705
linear,68,0.68,0.31999999999999995,50.50000000000001,33.83499999999999,0.602480305307705
linear,69,0.69,0.31000000000000005,50.50000000000001,33.83499999999999,0.602480305307705
linear,70,0.7,0.30000000000000004,50.50000000000001,33.83499999999999,0.602480305307705
linear,71,0.71,0.29000000000000004,50.50000000000001,33.83499999999999,0.602480305307705
linear,72,0.72,0.28,50.50000000000001,33.83499999999999,0.602480305307705
linear,73,0.73,0.27,50.50000000000001,33.83499999999999,0.602480305307705
linear,74,0.74,0.26,50.50000000000001,33.83499999999999,0.602480305307705
linear,75,0.75,0.25,50.50000000000001,33.83499999999999,0.602480305307705
linear,76,0.76,0.24,50.50000000000001,33.83499999999999,0.602480305307705
linear,77,0.77,0.22999999999999998,50.50000000000001,33.83499999999999,0.602480305307705
linear,78,0.78,0.21999999999999997,50.50000000000001,33.83499999999999,0.602480305307705
linear,79,0.79,0.20999999999999996,50.50000000000001,33.83499999999999,0.602480305307705
linear,80,0.8,0.19999999999999996,50.50000000000001,33.83499999999999,0.602480305307705
linear,81,0.81,0.18999999999999995,50.50000000000001,33.83499999999999,0.602480305307705
linear,82,0.82,0.18000000000000005,50.50000000000001,33.83499999999999,0.602480305307705
linear,83,0.83,0.17000000000000004,50.50000000000001,33.83499999999999,0.602480305307705
linear,84,0.84,0.16000000000000003,50.50000000000001,33.83499999999999,0.602480305307705
linear,85,0.85,0.15000000000000002,50.50000000000001,33.83499999999999,0.602480305307705
linear,86,0.86,0.14,50.50000000000001,33.83499999999999,0.602480305307705
linear,87,0.87,0.13,50.50000000000001,33.83499999999999,0.602480305307705
linear,88,0.88,0.12,50.50000000000001,33.83499999999999,0.602480305307705
linear,89,0.89,0.10999999999999999,50.50000000000001,33.83499999999999,0.602480305307705
linear,90,0.9,0.09999999999999998,50.50000000000001,33.83499999999999,0.602480305307705
linear,91,0.91,0.08999999999999997,50.50000000000001,33.83499999999999,0.602480305307705
linear,92,0.92,0.07999999999999996,50.50000000000001,33.83499999999999,0.602480305307705
linear,93,0.93,0.06999999999999995,50.50000000000001,33.83499999999999,0.602480305307705
linear,94,0.94,0.06000000000000005,50.50000000000001,33.83499999999999,0.602480305307705
linear,95,0.95,0.050000000000000044,50.50000000000001,33.83499999999999,0.602480305307705
linear,96,0.96,0.040000000000000036,50.50000000000001,33.83499999999999,0.602480305307705
linear,97,0.97,0.030000000000000027,50.50000000000001,33.83499999999999,0.602480305307705
linear,98,0.98,0.020000000000000018,50.50000000000001,33.83499999999999,0.602480305307705
linear,99,0.99,0.010000000000000009,50.50000000000001,33.83499999999999,0.602480305307705
linear,100,1.0,0.0,50.50000000000001,33.83499999999999,0.602480305307705
cosine,0,0.0,1.0,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,1,0.01,0.9997532801828658,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,2,0.02,0.9990133642141358,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,3,0.03,0.99778098230154,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,4,0.04,0.996057350657239,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,5,0.05,0.9938441702975689,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,6,0.06,0.9911436253643444,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,7,0.07,0.9879583809693737,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,8,0.08,0.9842915805643155,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,9,0.09,0.9801468428384715,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,10,0.1,0.9755282581475768,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,11,0.11,0.9704403844771128,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,12,0.12,0.9648882429441257,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,13,0.13,0.9588773128419905,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,14,0.14,0.9524135262330098,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,15,0.15,0.9455032620941839,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,16,0.16,0.9381533400219317,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,17,0.17,0.9303710135019718,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,18,0.18,0.9221639627510075,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,19,0.19,0.9135402871372809,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,20,0.2,0.9045084971874737,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,21,0.21,0.8950775061878452,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,22,0.22,0.8852566213878946,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,23,0.23,0.8750555348152298,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,24,0.24,0.8644843137107058,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,25,0.25,0.8535533905932737,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,26,0.26,0.8422735529643444,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,27,0.27,0.8306559326618259,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,28,0.28,0.8187119948743449,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,29,0.29,0.8064535268264883,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,30,0.3,0.7938926261462366,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,31,0.31,0.7810416889260653,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,32,0.32,0.7679133974894983,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,33,0.33,0.7545207078751857,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,34,0.34,0.7408768370508576,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,35,0.35,0.7269952498697734,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,36,0.36,0.7128896457825363,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,37,0.37,0.6985739453173903,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,38,0.38,0.6840622763423391,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,39,0.39,0.6693689601226458,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,40,0.4,0.6545084971874737,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,41,0.41,0.6394955530196147,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,42,0.42,0.6243449435824275,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,43,0.43,0.6090716206982714,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,44,0.44,0.5936906572928624,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,45,0.45,0.5782172325201155,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,46,0.46,0.5626666167821521,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,47,0.47,0.5470541566592573,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,48,0.48,0.5313952597646567,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,49,0.49,0.5157053795390641,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,50,0.5,0.5,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,51,0.51,0.48429462046093585,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,52,0.52,0.4686047402353433,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,53,0.53,0.45294584334074284,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,54,0.54,0.4373333832178478,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,55,0.55,0.42178276747988447,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,56,0.56,0.4063093427071376,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,57,0.57,0.39092837930172886,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,58,0.58,0.3756550564175727,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,59,0.59,0.3605044469803854,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,60,0.6,0.34549150281252633,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,61,0.61,0.3306310398773543,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,62,0.62,0.31593772365766104,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,63,0.63,0.30142605468260975,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,64,0.64,0.28711035421746367,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,65,0.65,0.2730047501302266,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,66,0.66,0.2591231629491423,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,67,0.67,0.24547929212481434,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,68,0.68,0.23208660251050156,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,69,0.69,0.21895831107393482,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,70,0.7,0.2061073738537635,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,71,0.71,0.19354647317351187,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,72,0.72,0.18128800512565513,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,73,0.73,0.16934406733817414,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,74,0.74,0.15772644703565564,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,75,0.75,0.14644660940672627,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,76,0.76,0.13551568628929433,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,77,0.77,0.1249444651847702,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,78,0.78,0.11474337861210543,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,79,0.79,0.1049224938121548,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,80,0.8,0.09549150281252633,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,81,0.81,0.08645971286271903,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,82,0.82,0.07783603724899257,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,83,0.83,0.06962898649802823,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,84,0.84,0.06184665997806832,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,85,0.85,0.054496737905816106,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,86,0.86,0.04758647376699032,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,87,0.87,0.04112268715800943,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,88,0.88,0.035111757055874326,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,89,0.89,0.029559615522887273,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,90,0.9,0.024471741852423234,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,91,0.91,0.019853157161528467,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,92,0.92,0.015708419435684462,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,93,0.93,0.012041619030626283,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,94,0.94,0.008856374635655695,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,95,0.95,0.00615582970243117,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,96,0.96,0.0039426493427611176,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,97,0.97,0.002219017698460002,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,98,0.98,0.0009866357858642205,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,99,0.99,0.0002467198171342,50.499999999999986,37.99999999999999,0.6023535862944575
cosine,100,1.0,0.0,50.499999999999986,37.99999999999999,0.6023535862944575
inverse_sqrt,0,0.0,1.0,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,1,0.01,0.9534625892455922,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,2,0.02,0.9128709291752769,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,3,0.03,0.8770580193070292,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,4,0.04,0.8451542547285166,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,5,0.05,0.8164965809277261,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,6,0.06,0.7905694150420948,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,7,0.07,0.7669649888473704,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,8,0.08,0.7453559924999299,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,9,0.09,0.7254762501100117,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,10,0.1,0.7071067811865475,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,11,0.11,0.6900655593423541,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,12,0.12,0.674199862463242,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,13,0.13,0.6593804733957871,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,14,0.14,0.6454972243679028,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,15,0.15,0.6324555320336759,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,16,0.16,0.6201736729460422,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,17,0.17,0.6085806194501845,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,18,0.18,0.5976143046671968,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,19,0.19,0.5872202195147035,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,20,0.2,0.5773502691896258,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,21,0.21,0.5679618342470648,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,22,0.22,0.5590169943749475,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,23,0.23,0.5504818825631803,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,24,0.24,0.5423261445466404,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,25,0.25,0.5345224838248488,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,26,0.26,0.5270462766947299,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,27,0.27,0.5198752449100363,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,28,0.28,0.5129891760425771,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,29,0.29,0.5063696835418333,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,30,0.3,0.5,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,31,0.31,0.49386479832479485,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,32,0.32,0.48795003647426655,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,33,0.33,0.48224282217041214,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,34,0.34,0.4767312946227961,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,35,0.35,0.47140452079103173,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,36,0.36,0.4662524041201569,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,37,0.37,0.46126560401444255,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,38,0.38,0.45643546458763845,46.987301343323836,24.532663442757244,0.6243123326455005
inverse_sqrt,39,0.39,0.45175395145262565,46.987301343323836,24.532663442757244,0.6243123326455005
